page,country,rev_id,prediction,population,region
Bir I of Kanem,Chad,355319463.0,Stub,16.877,AFRICA
Abdullah II of Kanem,Chad,498683267.0,Stub,16.877,AFRICA
Salmama II of Kanem,Chad,565745353.0,Stub,16.877,AFRICA
Kuri I of Kanem,Chad,565745365.0,Stub,16.877,AFRICA
Mohammed I of Kanem,Chad,565745375.0,Stub,16.877,AFRICA
Kuri II of Kanem,Chad,669719757.0,Stub,16.877,AFRICA
Bir II of Kanem,Chad,670893206.0,Stub,16.877,AFRICA
Mahamat Hissene,Chad,693055898.0,Stub,16.877,AFRICA
Othman I,Chad,705432607.0,Stub,16.877,AFRICA
Alphonse Kotiga,Chad,707593108.0,Stub,16.877,AFRICA
Oueddei Kichidemi,Chad,708346649.0,Start,16.877,AFRICA
Dunama I,Chad,710675092.0,Stub,16.877,AFRICA
Ahmad (Kanem-Bornu king),Chad,711388267.0,Stub,16.877,AFRICA
Djibrine Kerallah,Chad,712971263.0,Stub,16.877,AFRICA
Maurice Ngangtar,Chad,712971315.0,Stub,16.877,AFRICA
Idriss Miskine,Chad,712971738.0,Stub,16.877,AFRICA
Laoukein Kourayo Médard,Chad,716886170.0,Stub,16.877,AFRICA
Nadji Madou,Chad,716886788.0,Stub,16.877,AFRICA
Noël Milarew Odingar,Chad,716891799.0,Start,16.877,AFRICA
Yaya Dillo Djérou,Chad,717733209.0,Stub,16.877,AFRICA
Acheikh Ibn-Oumar,Chad,719821590.0,Start,16.877,AFRICA
Quatre Sou Quatre,Chad,720066754.0,Stub,16.877,AFRICA
Ali Gazi,Chad,722563340.0,Stub,16.877,AFRICA
Mahamat Djarma Khatir,Chad,725132042.0,Stub,16.877,AFRICA
Dunama IX Lefiami,Chad,731749611.0,Stub,16.877,AFRICA
Dawud of Kanem,Chad,736550266.0,Stub,16.877,AFRICA
Ahmed Koulamallah,Chad,738855197.0,Start,16.877,AFRICA
Abbo Nassour,Chad,741369486.0,C,16.877,AFRICA
Abdel Kader Baba-Laddé,Chad,742213176.0,Stub,16.877,AFRICA
Hummay,Chad,747271475.0,Stub,16.877,AFRICA
Ngarlejy Yorongar,Chad,751304544.0,C,16.877,AFRICA
Saleh Kezabo,Chad,751380073.0,Stub,16.877,AFRICA
Bourkou Louise Kabo,Chad,757072468.0,Start,16.877,AFRICA
Brahim Koulamallah,Chad,757802238.0,Stub,16.877,AFRICA
Saadie Goukouni Weddeye,Chad,757842614.0,Start,16.877,AFRICA
Mahamoud Adam Béchir,Chad,762579466.0,Start,16.877,AFRICA
Djidingar Dono Ngardoum,Chad,764133533.0,Stub,16.877,AFRICA
Youssouf Saleh Abbas,Chad,771052289.0,C,16.877,AFRICA
Koibla Djimasta,Chad,774223245.0,Start,16.877,AFRICA
Nassour Guelendouksia Ouaido,Chad,774223248.0,C,16.877,AFRICA
Joseph Brahim Seid,Chad,777478442.0,Stub,16.877,AFRICA
Joseph Yodoyman,Chad,777550078.0,Start,16.877,AFRICA
Antoine Bangui,Chad,782638002.0,Start,16.877,AFRICA
Ibrahim IV of Bornu,Chad,785614014.0,Stub,16.877,AFRICA
Hadjé Halimé,Chad,786449636.0,C,16.877,AFRICA
Youssouf Togoïmi,Chad,787390241.0,Start,16.877,AFRICA
Adoum Younousmi,Chad,787719236.0,Start,16.877,AFRICA
François Tombalbaye,Chad,787738541.0,C,16.877,AFRICA
Ahmat Hassaballah Soubiane,Chad,787910771.0,Stub,16.877,AFRICA
Ahmad Allam-Mi,Chad,787921293.0,Start,16.877,AFRICA
Laotegguelnodji Koumtog,Chad,788009613.0,Stub,16.877,AFRICA
Mahamat Ali Adoum,Chad,788014671.0,Start,16.877,AFRICA
Mahamat Saleh Annadif,Chad,788658822.0,Start,16.877,AFRICA
Mohamed Bechir-Sow,Chad,788827248.0,Stub,16.877,AFRICA
Gontchomé Sahoulba,Chad,788828388.0,Start,16.877,AFRICA
Gabriel Lisette,Chad,788828519.0,Start,16.877,AFRICA
Ali II of Bornu,Chad,788999424.0,Stub,16.877,AFRICA
Arabi El Goni,Chad,789126126.0,Stub,16.877,AFRICA
Dunama Dabbalemi,Chad,789935196.0,Start,16.877,AFRICA
Idris Alooma,Chad,792734868.0,Start,16.877,AFRICA
Mahamat Nouri,Chad,792954115.0,B,16.877,AFRICA
Idriss Ndele Moussa,Chad,796654025.0,Stub,16.877,AFRICA
Mbaydoum Simeon,Chad,796690873.0,Stub,16.877,AFRICA
Ngarindo Milengar,Chad,796700718.0,Stub,16.877,AFRICA
List of Prime Ministers of Chad,Chad,797747674.0,Start,16.877,AFRICA
Idriss Déby,Chad,798286150.0,C,16.877,AFRICA
Saleh Kebzabo,Chad,798626040.0,C,16.877,AFRICA
Moussa Faki,Chad,799043301.0,C,16.877,AFRICA
Kalzeubet Pahimi Deubet,Chad,799413193.0,Stub,16.877,AFRICA
Haroun Kabadi,Chad,799447895.0,Start,16.877,AFRICA
Nagoum Yamassoum,Chad,799447995.0,Start,16.877,AFRICA
Outel Bono,Chad,799448338.0,Start,16.877,AFRICA
Ahmat Acyl,Chad,799902492.0,C,16.877,AFRICA
Djimrangar Dadnadji,Chad,800133552.0,Start,16.877,AFRICA
Delwa Kassiré Koumakoye,Chad,801029539.0,C,16.877,AFRICA
Fidèle Moungar,Chad,801192255.0,C,16.877,AFRICA
Jean Alingué Bawoyeu,Chad,801192303.0,B,16.877,AFRICA
Emmanuel Nadingar,Chad,801573576.0,C,16.877,AFRICA
Roger Djikisna,Chad,801583221.0,Stub,16.877,AFRICA
Firmin Djidingar,Chad,801583260.0,Stub,16.877,AFRICA
Idris I of Kanem,Chad,802874918.0,Stub,16.877,AFRICA
Vice President of Chad,Chad,803166509.0,Stub,16.877,AFRICA
Hissène Habré,Chad,803166806.0,GA,16.877,AFRICA
Negue Djogo,Chad,803166989.0,Start,16.877,AFRICA
Wadel Abdelkader Kamougué,Chad,803167152.0,C,16.877,AFRICA
Félix Malloum,Chad,803167336.0,Start,16.877,AFRICA
Lol Mahamat Choua,Chad,803167424.0,C,16.877,AFRICA
Goukouni Oueddei,Chad,803167990.0,C,16.877,AFRICA
Albert Pahimi Padacké,Chad,803433107.0,C,16.877,AFRICA
List of heads of state of Chad,Chad,803812011.0,Start,16.877,AFRICA
Elise Loum,Chad,804773540.0,Start,16.877,AFRICA
Agnes Allafi,Chad,805493169.0,Start,16.877,AFRICA
Christine Georges Diguibaye,Chad,806337653.0,Stub,16.877,AFRICA
Pascal Yoadimnadji,Chad,806508985.0,Start,16.877,AFRICA
Aissa Koli,Chad,806616268.0,Start,16.877,AFRICA
Omar I of Kanem,Chad,807425129.0,Start,16.877,AFRICA
Information Minister of the Palestinian National Authority,Palestinian Territory,393276188.0,Stub,5.008,ASIA
Finance Minister of the Palestinian National Authority,Palestinian Territory,596181202.0,Start,5.008,ASIA
Planning Minister of the Palestinian National Authority,Palestinian Territory,633612729.0,Start,5.008,ASIA
Hossam Arafat (politician),Palestinian Territory,680933208.0,Stub,5.008,ASIA
Tawfik Tirawi,Palestinian Territory,701106976.0,Start,5.008,ASIA
Isam al-Qadi,Palestinian Territory,706650943.0,Stub,5.008,ASIA
Hussein al-Araj,Palestinian Territory,707669406.0,Stub,5.008,ASIA
Mohammad Barghouti,Palestinian Territory,708269321.0,Stub,5.008,ASIA
Ahmed Khalidi,Palestinian Territory,708495719.0,Stub,5.008,ASIA
Health Minister of the Palestinian National Authority,Palestinian Territory,708817890.0,Stub,5.008,ASIA
Qais Abd al-Karim,Palestinian Territory,709529097.0,Stub,5.008,ASIA
Mahmoud Aloul,Palestinian Territory,709567584.0,Stub,5.008,ASIA
Victor Batarseh,Palestinian Territory,709994434.0,Stub,5.008,ASIA
Hanna Nasser (academic),Palestinian Territory,710133339.0,Start,5.008,ASIA
Anastas Hanania,Palestinian Territory,710390049.0,Start,5.008,ASIA
Joudeh George Murqos,Palestinian Territory,710676772.0,Stub,5.008,ASIA
Ali al-Sartawi,Palestinian Territory,710990363.0,Stub,5.008,ASIA
Jamal Tirawi,Palestinian Territory,712310215.0,Start,5.008,ASIA
Samir Abu Eisheh,Palestinian Territory,713203735.0,Stub,5.008,ASIA
Sami Taha,Palestinian Territory,713505054.0,Start,5.008,ASIA
Ayyub Musallam,Palestinian Territory,714176771.0,Stub,5.008,ASIA
Hajj Essa Hamed,Palestinian Territory,714181175.0,Start,5.008,ASIA
Hasan Tahboub,Palestinian Territory,714208891.0,Stub,5.008,ASIA
Hanna Nasser,Palestinian Territory,714586856.0,Stub,5.008,ASIA
Ghazi Hanania,Palestinian Territory,715125381.0,Stub,5.008,ASIA
Amin Abd al-Hadi,Palestinian Territory,716425885.0,Stub,5.008,ASIA
Samir Hulileh,Palestinian Territory,717174805.0,Start,5.008,ASIA
Hatem Qafisha,Palestinian Territory,717350346.0,Stub,5.008,ASIA
Nayef Rajoub,Palestinian Territory,717907429.0,Stub,5.008,ASIA
Ghassan Shakaa,Palestinian Territory,720225559.0,Stub,5.008,ASIA
Salim Zanoun,Palestinian Territory,720541817.0,Stub,5.008,ASIA
Ahmad Bahar (Palestinian politician),Palestinian Territory,725592476.0,Stub,5.008,ASIA
Umm Nidal,Palestinian Territory,729635985.0,C,5.008,ASIA
Aref al-Dajani,Palestinian Territory,730565205.0,Start,5.008,ASIA
Faed Mustafa,Palestinian Territory,730612889.0,Stub,5.008,ASIA
Interior Minister of the Palestinian National Authority,Palestinian Territory,734366909.0,B,5.008,ASIA
Samiha Khalil,Palestinian Territory,737316891.0,Start,5.008,ASIA
Imil Jarjoui,Palestinian Territory,738485209.0,Stub,5.008,ASIA
Abu Zakaria al-Jamal,Palestinian Territory,740251014.0,Stub,5.008,ASIA
Mustafa al-Khalidi,Palestinian Territory,740562507.0,Stub,5.008,ASIA
Samir Ghawshah,Palestinian Territory,741240899.0,Start,5.008,ASIA
Fuad Kokaly,Palestinian Territory,742810698.0,Stub,5.008,ASIA
Janet Mikhail,Palestinian Territory,742930612.0,Stub,5.008,ASIA
Hind Khoury,Palestinian Territory,744229617.0,Stub,5.008,ASIA
Saloum Cohen,Palestinian Territory,744680083.0,Stub,5.008,ASIA
Ahmed Majdalani,Palestinian Territory,745445418.0,Start,5.008,ASIA
Faidi al-Alami,Palestinian Territory,746561126.0,Stub,5.008,ASIA
Arafat scarf,Palestinian Territory,752269980.0,Stub,5.008,ASIA
Zuhir al-Qaisi,Palestinian Territory,754951299.0,C,5.008,ASIA
Mohammed Shabir,Palestinian Territory,754960024.0,Start,5.008,ASIA
Said Seyam,Palestinian Territory,755358806.0,C,5.008,ASIA
Atef Adwan,Palestinian Territory,756834998.0,Start,5.008,ASIA
Moussa Arafat,Palestinian Territory,756836183.0,Start,5.008,ASIA
Khouloud Daibes,Palestinian Territory,757565638.0,Start,5.008,ASIA
Nahid al-Rayyis,Palestinian Territory,759387598.0,Start,5.008,ASIA
Rawhi Fattouh,Palestinian Territory,760357919.0,Start,5.008,ASIA
Wasfi Kabha,Palestinian Territory,760375386.0,Stub,5.008,ASIA
Omar Hammayil,Palestinian Territory,760380012.0,Stub,5.008,ASIA
Mohammed Milhim,Palestinian Territory,760380700.0,Stub,5.008,ASIA
Faisal Husseini,Palestinian Territory,765742925.0,Start,5.008,ASIA
Haidar Abdel-Shafi,Palestinian Territory,766784372.0,Start,5.008,ASIA
